School Name,City,Owners Name,Contact Number,Student Strength as on May 2019,% of Education Service Fee
"GDGPS, DWARKA EXPRESSWAY",HARYANA,Mr. Vipul Garg ,9830111131,21,upto 500 nil
"GDGPS, TOHANA",HARYANA,Mr. Sunil Sharma ,9830111132,22,upto 500 nil
"MEENAKSHI FOUNDATION, SECTOR 10 GURGAON",HARYANA,Mr. Tarun Sachdeva ,9830111133,23,upto 500 nil
"NANDNI EDUCATION AND CHARITABLE TRUST, LUCKNOW",UTTAR PRADESH,Mr. Sarvesh Goel ,9830111134,24,upto 500 nil
"GDGPS, GREATER NOIDA",UTTAR PRADESH,Mr. Deepak Karnani ,9830111135,25,upto 500 nil
"PUNJABI NOIDA EDUCATION SOCIETY, NOIDA SECTOR 50",UTTAR PRADESH,Mr. Mohit Thukral ,9830111136,26,upto 500 nil
"NRI EDUCATIONAL SOCIETY, KANPUR",UTTAR PRADESH,Mr. Chandan Aggarwal ,9830111137,27,upto 500 nil
"SHRI TIKAM CHAND EDUCATIONAL CHARITABLE SOCIETY, FEROZABAD",UTTAR PRADESH,Mr. Manoj Goel ,9830111138,28,upto 500 nil
"GDGPS, BAREILLY",UTTAR PRADESH,Mr. Chandan Aggarwal ,9830111139,29,upto 500 nil
"SOCIETY FOR EDUCATION & WELFARE FOR ALL SEWA, INDIRAPURAM",UTTAR PRADESH,Mr. Ankur Malhotra ,9830111140,30,upto 500 nil
"ABHILASHA EDUCATION SOCIETY, NOIDA EXTENSION",UTTAR PRADESH,Mr. Singhal                       Mr. Harish Verma ,9830111141,31,upto 500 nil
"KUMARI DURGA MEMORIAL TRUST, GORAKHPUR",UTTAR PRADESH,Mr. Raju Jaiswal ,9830111142,32,upto 500 nil
"GDGPS, GHAZIABAD",UTTAR PRADESH,Mr. Sanjay Goel ,9830111143,33,upto 500 nil
"SHRI SHIVDAN SINGH SIKSHAN SANSTHAN, ALIGARH",UTTAR PRADESH,Mr. Sunil Singh ,9830111144,34,upto 500 nil
"GDGPS, AGRA",UTTAR PRADESH,Mr. Sanjay Aggarwal,9830111145,35,upto 500 nil
"GDGPS, MUZZAFARNAGAR",UTTAR PRADESH,Mr. Sachin                           Mr. Sulabh Goyal ,9830111146,36,upto 500 nil
"GDGPS, VARANASI",UTTAR PRADESH, Mr. Dinesh Gupta ,9830111147,37,upto 500 nil
"GDGPS, UNNAO",UTTAR PRADESH,Mr. Chandan Aggarwal ,9830111148,38,upto 500 nil
"GDGPS, MORADABAD",UTTAR PRADESH,Mr. Suleman Khan ,9830111149,39,upto 500 nil
"GDGPS, SAHARANPUR",UTTAR PRADESH,,9830111150,40,upto 500 nil
"GDGPS, SITAPUR",UTTAR PRADESH,Mr. Suryansh Sehgal ,9830111151,41,upto 500 nil
"GDGPS, SULTANPUR",UTTAR PRADESH,Mr. Vineet ,9830111152,42,upto 500 nil
"MANMOHAN EDUCATION SOCIETY, NAUKUCHIATAL",UTTRAKHAND,Mr. Neeraj Aggarwal                            Mr. Aakarsh Aggarwal                              Mr. Johnson (Manager),9830111153,43,upto 500 nil
"THE CORBETT EDUCATION SOCIETY, KASHIPUR",UTTRAKHAND,Mr. Neeraj Aggarwal                            Mr. Aakarsh Aggarwal                              Mr. Johnson (Manager),9830111154,44,upto 500 nil
"GDGPS, RUDRAPUR",UTTRAKHAND,Mr. Atul Goel ,9830111155,45,upto 500 nil
"GDGPS, HALDWANI",UTTRAKHAND,,9830111156,46,upto 500 nil
"SKY FOUNDATION, AMRITSAR",PUNJAB,Mr. Mahaveer Singh  &                                      Mr. Pawan Sharma (Manager),9830111157,47,upto 500 nil
"GDGPS, JALANDHAR",PUNJAB,Mr. T.D. Dua ,9830111158,48,upto 500 nil
"GDGPS, KAPURTHALA",PUNJAB,Mr. Sukhdev Singh ,9830111159,49,upto 500 nil
"RATHUR EDUCATION TRUST, GAYA",BIHAR,Mr. Rabindra Rathaur ,9830111160,50,upto 500 nil
"SHANTI EDUCATIONAL TRUST, PATNA",BIHAR,Mr. Vivek Singh ,9830111161,51,upto 500 nil
"GURUKUL FOUNDATIONS, PURNEA, BIHAR",BIHAR,Mr. Piyush Aggarwal &                        Mr. Sharma ,9830111162,52,upto 500 nil
"GDGPS, AURANGABAD",BIHAR,Mr. Mukesh Kumar                     Mr. Ajay Kumar                Mr. T. Dua (Partner),9830111163,53,upto 500 nil
"GDGPS, BHAGALPUR",BIHAR,Mr. Mithilesh Singh ,9830111164,54,upto 500 nil
"GDGPS, MUZZAFARPUR",BIHAR,Mr. Yusuf Salauddin ,9830111165,55,upto 500 nil
"GDGPS, BETTIAH",BIHAR,Ms. Sharadha ,9830111166,56,upto 500 nil
"GDGPS, DARBHANGA",BIHAR,Mr. Manoj Kumar ,9830111167,57,upto 500 nil
"GDGPS, DHANBAD",JHARKHAND,Mr. Mritunjay Singh ,9830111168,58,upto 500 nil
"GDGPS, DEOGHAR",JHARKHAND,Mr. Ram Niwas ,9830111169,59,upto 500 nil
"VARCHASVA EDUCATIONAL SOCIETY, BHIWADI",RAJASTHAN,Mr. Ramjeevan Dagar ,9830111170,60,upto 500 nil
"GDGPS, UDAIPUR",RAJASTHAN,Mr. Anil Shah &                             Mr. Aditya Shah ,9830111171,61,upto 500 nil
"SHRI LAXMAN EDUCATION TRUST, GWALIOR",MADHYA PRADESH,Ms. Priya Dusaj ,9830111172,62,upto 500 nil
"GDGPS, INDORE",MADHYA PRADESH,Mr. Deepesh Khandelwal                                      Mr. Devraj                                   Mr. Vijay Assudani (Advocate and Manage the School) ,9830111173,63,upto 500 nil
"GDGPS, MORENA",MADHYA PRADESH,Mr. Sonu Dandotia &                                      Mr. Balvir Dandotia ,9830111174,64,upto 500 nil
"GDGPS, JABALPUR",MADHYA PRADESH,Mr. Sarabjeet Mokha ,9830111175,65,upto 500 nil
"OM PRAKASH BANSAL CHARITABLE TRUST, JAMMU",JAMMU & KASHMIR,Mr. Rahul Bansal ,9830111176,66,upto 500 nil
"AL HABIB EDUCATIONAL INSTITUTE , SRINAGAR",JAMMU & KASHMIR,Mr. Imtiaz Qausa ,9830111177,67,upto 500 nil
"GDGPS, BARAMULLA",JAMMU & KASHMIR,Mr. Zubair Sahab ,9830111178,68,upto 500 nil
"GDGPS, BUDGAM",JAMMU & KASHMIR,Mr. Javed Masoodi ,9830111179,69,upto 500 nil
"GDGPS, ANANTNAG",JAMMU & KASHMIR,Mr. Faiz Rather ,9830111180,70,upto 500 nil
"GDGPS, KUPWARA",JAMMU & KASHMIR,Mr. Imtiaz,9830111181,71,upto 500 nil
"GDGPS, GANDERBAL",JAMMU & KASHMIR,Mr. Hannan &                                    Mr. Ejaz ,9830111182,72,upto 500 nil
"GDGPS, AKHNOOR",JAMMU & KASHMIR,Mr. Pranav,9830111183,73,upto 500 nil
"GDGIS, SURAT",GUJARAT,Mr. Manhar Bhai                                             Mr. Pranav (Manager),9830111184,74,upto 500 nil
"GDGPS, AHMEDABAD",GUJARAT,Mr. Pulkit ,9830111185,75,upto 500 nil
"GDGPS, RAIPUR",CHATTISGARH,Mr. Rajeev Vora ,9830111186,76,upto 500 nil
"SPARSH EDUCATION SOCIETY, DHARAMSHALA",HIMACHAL PRADESH,Mr. Himanshu Tank ,9830111187,77,upto 500 nil
"DINODIA EDUCATIONAL TRUST, SILIGURI",WEST BENGAL,Mr. Sanjay Bansal ,9830111188,78,upto 500 nil
"GDGPS, KOLKATA",WEST BENGAL,Mr. Deepak Dey ,9830111189,79,upto 500 nil
"GDGPS, HYDERABAD",TELANGANA,Mr. Thota Shiva ,9830111190,80,upto 500 nil
